Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
439,Stetson University,DeLand,FL,Private,3213,4252,30480,30974,61374,86000,68,,,,,www.stetson.edu/home,,,
317,Franciscan University of Steubenville,Steubenville,OH,Private,2230,2929,30440,10971,37790,86200,83,1080,1300,23,28,www.franciscan.edu,,,
569,Boise State University,Boise,ID,Public,23634,24121,30427,8258,37248,86400,84,940,1160,21,26,www.boisestate.edu,,,
612,University of South Alabama,Mobile,AL,Public,12848,15569,30421,6927,28210,86400,82,1010,1200,20,26,www.southalabama.edu,,,
522,Carroll University,Waukesha,WI,Private,3048,3452,30373,18551,44150,86500,71,975,1210,21,26,www.carrollu.edu,,,
560,King's College (PA),Wilkes-Barre,PA,Private,2244,2469,30299,21560,52030,86500,71,,,,,www.kings.edu,,,
277,New College of Florida,Sarasota,FL,Public,859,885,30244,9341,43678,86500,69,1190,1380,25,30,www.ncf.edu,,,
530,Queens University of Charlotte,Charlotte,NC,Private,1906,2507,30243,22152,48776,86600,79,1010,1198,21,26,www.queens.edu,,,
332,Master's University,Santa Clarita,CA,Private,1551,1946,30232,18498,47766,86600,66,1030,1240,20,23,www.masters.edu,,,
425,University of North Florida,Jacksonville,FL,Public,16309,16531,30205,7267,35614,86600,59,1090,1280,21,26,www.unf.edu,,,
374,Saint John Fisher College,Rochester,NY,Private,2976,3776,30194,17631,47770,86700,65,1060,1230,22,26,www.sjfc.edu,,,
517,Missouri State University,Springfield,MO,Public,22856,23697,30187,5480,28502,86800,84,1020,1245,21,26,www.missouristate.edu,,,
395,College of St. Scholastica,Duluth,MN,Private,3143,4276,30142,23314,49104,86800,68,1020,1300,19,27,css.edu,,,
330,St. Joseph's College (NY),Brooklyn,NY,Private,1085,1176,30107,14686,39050,86900,68,868,1060,18,22,www.sjcny.edu,,,
472,Coe College,Cedar Rapids,IA,Private,1394,1476,30106,31543,55240,86900,56,1073,1326,22,28,www.coe.edu,,,
241,Rollins College,Winter Park,FL,Private,2894,3278,30019,30057,67775,87000,64,,,,,www.rollins.edu,,,
534,University of Northern Colorado,Greeley,CO,Public,11278,13399,29956,7708,35653,87100,89,1000,1240,19,25,www.unco.edu,,,
561,Hastings College,Hastings,NE,Private,1202,1227,29902,19652,43527,87100,68,970,1150,20,25,www.hastings.edu,,,
456,"University of Alabama, Birmingham",Birmingham,AL,Public,13308,20902,29815,9254,36800,87200,92,990,1370,21,28,www.uab.edu,,,
